country,iso_codes,year,value
Austria,AUT,1990,235.5
Austria,AUT,1991,243.987
Austria,AUT,1992,189.694
Austria,AUT,1993,171.889
Austria,AUT,1994,190.765
Austria,AUT,1995,198.969
Austria,AUT,1996,206.135
Austria,AUT,1997,205.48
Austria,AUT,1998,178.17
Austria,AUT,1999,168.149
Austria,AUT,2000,152.005
Austria,AUT,2001,170.539
Austria,AUT,2002,163.208
Austria,AUT,2003,207.47
Austria,AUT,2004,191.581
Austria,AUT,2005,185.18
Austria,AUT,2006,179.824
Austria,AUT,2007,165.154
Austria,AUT,2008,155.171
Austria,AUT,2009,133.499
Austria,AUT,2010,151.608
Austria,AUT,2011,161.104
Austria,AUT,2012,119.534
Austria,AUT,2013,106.158
Austria,AUT,2014,92.484
Austria,AUT,2015,107.638
Austria,AUT,2016,95.628
Austria,AUT,2017,103.98
Belgium,BEL,1990,356.77
Belgium,BEL,1991,362.746
Belgium,BEL,1992,346.75
Belgium,BEL,1993,356.765
Belgium,BEL,1994,364.239
Belgium,BEL,1995,349.893
Belgium,BEL,1996,322.084
Belgium,BEL,1997,292.861
Belgium,BEL,1998,310.58
Belgium,BEL,1999,259.553
Belgium,BEL,2000,267.502
Belgium,BEL,2001,254.122
Belgium,BEL,2002,260.422
Belgium,BEL,2003,263.731
Belgium,BEL,2004,267.906
Belgium,BEL,2005,272.793
Belgium,BEL,2006,249.221
Belgium,BEL,2007,238.85
Belgium,BEL,2008,234.674
Belgium,BEL,2009,209.596
Belgium,BEL,2010,209.36
Belgium,BEL,2011,189.747
Belgium,BEL,2012,204.568
Belgium,BEL,2013,185.529
Belgium,BEL,2014,202.544
Belgium,BEL,2015,221.21
Belgium,BEL,2016,167.945
Belgium,BEL,2017,176.066
Bulgaria,BGR,1990,543.077
Bulgaria,BGR,1991,510.283
Bulgaria,BGR,1992,639.676
Bulgaria,BGR,1993,620.512
Bulgaria,BGR,1994,565.276
Bulgaria,BGR,1995,518.97
Bulgaria,BGR,1996,491.526
Bulgaria,BGR,1997,530.592
Bulgaria,BGR,1998,550.559
Bulgaria,BGR,1999,490.282
Bulgaria,BGR,2000,461.093
Bulgaria,BGR,2001,511.255
Bulgaria,BGR,2002,469.186
Bulgaria,BGR,2003,520.578
Bulgaria,BGR,2004,521.773
Bulgaria,BGR,2005,490.684
Bulgaria,BGR,2006,483.506
Bulgaria,BGR,2007,587.179
Bulgaria,BGR,2008,552.027
Bulgaria,BGR,2009,510.272
Bulgaria,BGR,2010,514.81
Bulgaria,BGR,2011,569.462
Bulgaria,BGR,2012,511.104
Bulgaria,BGR,2013,467.173
Bulgaria,BGR,2014,463.273
Bulgaria,BGR,2015,474.449
Bulgaria,BGR,2016,449.603
Bulgaria,BGR,2017,486.208
Croatia,HRV,1990,332.945
Croatia,HRV,1991,199.951
Croatia,HRV,1992,314.588
Croatia,HRV,1993,331.516
Croatia,HRV,1994,218.781
Croatia,HRV,1995,246.696
Croatia,HRV,1996,186.258
Croatia,HRV,1997,276.814
Croatia,HRV,1998,311.529
Croatia,HRV,1999,286.126
Croatia,HRV,2000,282.568
Croatia,HRV,2001,296.187
Croatia,HRV,2002,353.974
Croatia,HRV,2003,379.945
Croatia,HRV,2004,280.071
Croatia,HRV,2005,294.838
Croatia,HRV,2006,305.268
Croatia,HRV,2007,388.014
Croatia,HRV,2008,334.866
Croatia,HRV,2009,262.915
Croatia,HRV,2010,208.743
Croatia,HRV,2011,296.261
Croatia,HRV,2012,280.372
Croatia,HRV,2013,198.813
Croatia,HRV,2014,171.35
Croatia,HRV,2015,203.368
Croatia,HRV,2016,202.572
Croatia,HRV,2017,187.95
Cyprus,CYP,1990,851.677
Cyprus,CYP,1991,839.59
Cyprus,CYP,1992,838.821
Cyprus,CYP,1993,838.744
Cyprus,CYP,1994,844
Cyprus,CYP,1995,834.044
Cyprus,CYP,1996,844.755
Cyprus,CYP,1997,853.763
Cyprus,CYP,1998,855.571
Cyprus,CYP,1999,869.281
Cyprus,CYP,2000,848.547
Cyprus,CYP,2001,786.326
Cyprus,CYP,2002,766.441
Cyprus,CYP,2003,773.35
Cyprus,CYP,2004,781.58
Cyprus,CYP,2005,800.047
Cyprus,CYP,2006,792.566
Cyprus,CYP,2007,795.391
